id,gender,age,height,pro_vac
0e0c6e3a,0,58,174.4684706832963,0.0
48009930,1,42,176.54888743601114,1.0
aba1ac86,1,49,191.39910725792754,1.0
7cecdf91,0,41,162.73497832209088,1.0
f4a41272,0,62,176.74038587129104,1.0
963543f7,1,42,215.78216819642589,1.0
cbf41737,0,52,160.7770292305861,1.0
3b185af3,1,56,192.99073514599996,0.0
3519ccc0,1,32,181.55045316314832,1.0
8a57e681,1,36,176.81370593538625,1.0
0686aa1f,0,53,168.06854530029815,1.0
ce47bc51,0,46,161.56590758236536,1.0
f7d934f3,0,60,168.76851368239,1.0
3da77910,1,54,176.5581620310698,1.0
1f96e81d,0,50,163.07666265686493,1.0
82d0a899,0,55,164.53408590797997,1.0
17b5a7f2,0,43,162.40935016118928,1.0
07a4395a,1,41,177.60198335031703,1.0
db7326de,0,49,180.52166499705513,0.0
9dd26495,0,53,167.53068695883897,0.0
850cda18,1,48,193.41032387998317,0.0
4c4c7891,0,36,167.2312168945682,0.0
50f932fe,0,54,145.40325286185296,1.0
0c14164d,0,44,168.02937233662914,1.0
c3887e1d,1,58,181.70753185567926,1.0
d326faf3,1,58,188.64482342202191,1.0
b82b35af,1,45,174.09095371352606,1.0
29c7766f,1,33,198.126903401336,0.0
fd4ab2fe,0,48,176.50598427982425,1.0
0e0c6613,1,41,172.49546985964798,1.0
2935b02d,0,53,165.9377020184444,1.0
49c8c7d3,1,42,197.3530807730081,1.0
ac69f323,0,53,156.4486314277929,1.0
9c01a5ad,1,59,178.93859780728403,1.0
57c4ef55,1,50,188.53025483804896,0.0
73b93618,1,53,201.349955679411,1.0
c7ce1fcf,1,47,194.71832884401363,0.0
b7a2fb92,1,56,178.6964665304125,1.0
c530c9c9,1,43,181.9719354917378,1.0
2b664bc2,1,47,181.7083281253865,1.0
3a4ba687,1,55,191.272301400291,1.0
d351c849,0,47,171.62502973654736,0.0
2098d83c,0,52,156.27576910695186,1.0
77b0eee1,1,53,171.5018750873298,0.0
a513363a,1,49,175.91834925629175,1.0
f46608f5,0,50,173.49959439008316,1.0
941fb1e2,0,49,155.01614867194152,1.0
fe5a430a,0,61,162.51469218759618,1.0
5bd82ab4,1,44,155.91192742530285,1.0
50bfaa5e,0,44,146.66494801784665,1.0
e09efce4,0,67,173.29172021385943,1.0
fce99692,1,41,180.577084750259,1.0
2edeb1f2,1,50,199.97116378122743,1.0
a549c2fa,1,45,187.263549776453,0.0
5787c0ca,1,50,192.33055201069806,1.0
5b6e776c,1,49,180.3468057655497,1.0
8aa8b7c1,1,53,183.06967934718537,1.0
0a08a3ff,1,56,212.3783551760667,1.0
d5c12219,1,40,189.0910897675658,1.0
78de40b5,0,64,153.40432666848136,1.0
d3526004,1,47,179.17932045386786,1.0
87ada632,0,61,169.38702110515283,1.0
6f4eff98,1,49,188.8703244548766,1.0
4ff142ce,0,52,164.98953702784354,1.0
ae524543,1,61,180.2905472479754,1.0
fba19f78,0,42,151.0297871046482,1.0
5434e55b,1,53,194.60533881737013,1.0
a2e3fc48,0,44,153.88578844488057,1.0
33041933,0,59,169.35345432179986,1.0
